,bagni,locali,piano,prezzo(€),superficie
0,,1-5,,€ 192.000,46
1,1,2,1,€ 225.000,50
2,2,4,2,€ 1.350.000,200
3,1,2,5,€ 135.000,60
4,3+,5,,€ 229.000,169
5,1,2,1,€ 249.000,75
6,3+,5+,,€ 1.399.000,500
7,1,3,T,€ 279.000,110
8,1,2,3,€ 339.000,70
9,3,5+,A,€ 699.000,174
10,,,,€ 20.000,19
11,3+,4,T,€ 189.000,168
12,2,5,2,€ 570.000,160
13,2,3,,€ 219.000,190
14,1,3,1,€ 215.000,67
15,1,3,4,€ 339.000,90
16,3+,5+,5,€ 3.700.000,250
17,2,3,1,€ 279.000,100
18,2,5,2,€ 549.000,85
19,3+,5+,T,€ 1.700.000,460
20,2,5,2,€ 579.000,160
21,2,3,3,€ 269.000,87
22,2,4,4,€ 480.000,125
23,3+,5+,,€ 4.200.000,850
24,1,2,T,€ 169.000,58
25,1,2,7,€ 238.000,40
26,2,4,A,€ 250.000,110
27,2,3,5,€ 325.000,100
28,3+,5+,,€ 2.500.000,625
29,1,3,3,€ 680.000,90
30,1,4,2,€ 849.000,127
31,2,4,5,€ 370.000,139
32,1,2,4,€ 165.000,78
33,1,5+,3,€ 1.100.000,154
34,3+,5+,1,€ 1.070.000,230
35,3,5+,3,€ 1.050.000,235
36,3+,5+,,€ 3.400.000,500
37,2,5+,R,€ 1.050.000,290
38,2,4,4,€ 1.350.000,137
39,1,5+,1,€ 720.000,145
40,3+,5+,,€ 1.850.000,1.200
41,1,3,T,€ 125.000,50
42,1,3,3,€ 320.000,76
43,3+,5+,1,€ 1.100.000,250
44,3,5,1,€ 1.560.000,191
45,1,3,5,€ 279.000,120
46,3,5+,4,€ 745.000,230
47,2,4,,€ 239.000,90
48,2,3,2,€ 419.000,100
49,2,5+,5,€ 1.680.000,210
50,2,5+,2,€ 850.000,183
51,3,5+,4,€ 1.650.000,340
52,1,2,1,€ 139.000,72
53,3,5+,3,€ 670.000,227
54,2,4,3,€ 539.000,140
55,1,3,1,€ 375.000,92
56,2,5,4,€ 1.150.000,160
57,2,4,4,€ 449.000,120
58,2,4,4,€ 450.000,166
59,3,4,3,€ 519.000,150
60,3,5+,3,€ 895.000,200
61,3,5+,4,€ 1.650.000,220
62,1,2,3,€ 620.000,65
63,3,5+,A,€ 1.900.000,275
64,1,3,2,€ 349.000,100
65,1,3,2,€ 275.000,72
66,3,5+,1,€ 650.000,170
67,3+,5+,R,€ 1.570.000,260
68,1,2,1,€ 119.000,65
69,2,5+,1,€ 670.000,180
